MSA_Name,AdvWeightedGap_2006,AdvWeightedGap_2007,AdvWeightedGap_2008,AdvWeightedGap_2009,AdvWeightedGap_2010,AdvWeightedGap_2011,AdvWeightedGap_2012,AdvWeightedGap_2013,AdvWeightedGap_2014,AdvWeightedGap_2015,AdvWeightedGap_2016,AdvWeightedGap_2017,AdvWeightedGap_2018,AdvWeightedGap_2019,AdvWeightedGap_2020,AdvWeightedGap_2021,AdvWeightedGap_2022,AdvWeightedGap_2023,Adv_Weight_LQ_2015_2018_Anchor,Avg_AdvWeightedGap_PreCOVID_2006_2019,Avg_AdvWeightedGap_COVID_2020_2023,Latest_Year_AdvWeightedGap_2023,Market_Category_Mode_2020_2023
"Toledo, OH",-357484.3346507456,226821.72935648263,-171067.8332458306,-1174311.6356036812,-1348137.9676849963,1031789.2199875563,769951.3355761515,440381.45520701073,18017.39969876781,99432.8717686208,-50035.81350424094,80850.93726434652,241211.56460806122,50471.98352521192,964382.8645309317,1445203.06541452,193308.96874594456,1156135.9396700875,0.5470457712554969,-10150.64912123466,939757.709590371,1156135.9396700875,Moderate Structural Surplus
"Lakeland-Winter Haven, FL",-217665.85697907303,539785.1366120197,-558057.4150510107,527801.9838338024,81422.11234283773,62416.358888292685,-181286.68463093136,275504.0883475761,-296449.1776505504,176000.79412074434,-81080.90431399876,-19855.22139233374,410231.2670005283,-7125.799625170883,390942.9363818243,352541.05209841207,920890.0800053095,1581057.5455282545,0.3194121225984212,50831.477250195174,811357.9035034501,1581057.5455282545,Moderate Structural Surplus
"Scranton--Wilkes-Barre, PA",580172.1641140063,-34959.34033821244,-474186.4192813644,-415809.0404049596,-31576.644363710657,60422.90961700212,472589.96630875766,926326.6519377413,280167.0041696164,711079.1038128808,472814.61372716073,130675.64192529535,-126672.4363567112,731957.1956043812,1243499.1341859945,364860.96032518335,548175.6784992712,798391.9797809732,0.3913667284914907,234500.09789084882,738731.9381978556,798391.9797809732,Moderate Structural Surplus
"Des Moines-West Des Moines, IA",,-121347.14289628062,-239992.07525457675,-925278.2924454841,-645438.3487580931,-732799.554764139,-639035.1591037326,-499570.5566408611,71224.94200339122,-446744.86360498937,-86289.31093757809,533866.9906911764,374203.81534574623,126399.27373986808,434055.0551589709,532238.4676103506,861019.341468463,1112716.5855137024,0.4061706280038037,-248523.09866350406,735007.3624378718,1112716.5855137024,Moderate Structural Surplus
"Las Vegas-Henderson-North Las Vegas, NV",236780.38156749727,-232010.2188500273,-152499.21792670246,227244.64076428302,-268677.3281796435,347742.05712315254,-216703.05864874367,-531357.7937763268,-267483.20303185564,-73922.43326462945,599843.7354979054,-234591.03176218737,-220179.68122748705,-348584.30833781324,819764.3690315932,-760045.7964080966,530260.065222587,2315100.216855676,0.2914510538616219,-81028.39000375559,726269.7136754398,2315100.216855676,Moderate Structural Surplus
"Houston-Pasadena-The Woodlands, TX",-931449.7039171271,-3833182.973267168,-4200637.89738344,-1474638.678209588,1713347.6706323586,919031.4361690916,-227059.51803169027,-347463.84295623377,-1164261.961187698,-366320.96685259417,946679.1116621643,1153832.574275203,-554771.0892437473,4875886.986979827,9172339.217337005,-2227744.5241234824,-568880.3480099291,-3481764.3785475567,0.5581049029964206,-249357.77509504583,723487.4916640092,-3481764.3785475567,Structurally Balanced
"Rochester, NY",,149926.73365385737,1899371.8508450417,443945.91051939875,664094.4861235451,-670498.6083000004,-909348.614497263,207645.83226268645,724197.7450343929,-86340.51664481219,447681.0481183799,719305.7063431367,988325.2480858467,48953.67312411312,2242282.927021237,-50901.565760219004,-132204.50835922966,515855.1380499308,0.5119011320368286,355943.1149744864,643757.9977379298,515855.1380499308,Structurally Balanced
"Salt Lake City-Murray, UT",55596.70889952313,-1312361.763151762,622013.9278186299,-36476.82396884076,-1178804.8321622992,-1098199.4298629435,293649.5946095949,-305873.246717589,196652.02811318543,409792.30504637863,-422015.4930637926,-663537.1880834666,355138.8955315221,-565959.0583315277,61264.3843382895,-1615923.842360422,465927.6820796123,3518571.016210282,0.540007303982643,-260741.74109452768,607459.8100669405,3518571.016210282,Structurally Balanced
"Portland-Vancouver-Hillsboro, OR-WA",-671759.3206011597,-1257452.2361607011,-484073.7066935776,3568659.596738208,1011140.7323151827,78340.52307579853,512082.91308132,1108860.540986983,1156302.541034164,691248.425709012,-482840.4989153184,-585384.1134726284,571817.703115942,533198.3192382865,222616.6302908901,-314832.30192023795,-472004.0767599093,2972259.7525198245,0.5536466970599397,410724.3871036794,602010.0010326419,2972259.7525198245,Structurally Balanced
"Boise City, ID",,40225.767157059396,47021.69437650242,259799.7755383607,-99150.53871304262,99420.70068443567,28708.7670119768,-140951.2469163339,-197276.21649525547,159916.66324565327,-133254.24860907532,166152.9373734597,-253959.42082562507,19546.196154468576,208260.84702120326,-78805.87662105169,979630.5257622004,1293965.4324264603,0.4804427752920995,-292.24384749353004,600762.7321472031,1293965.4324264603,Significant Structural Surplus
"Bakersfield-Delano, CA",,-408029.3282541053,251626.35613972903,145316.84501580312,63259.06610007305,170076.23897322593,-390306.6655757779,-214073.51746315754,-14546.536250745761,34664.42562325939,64216.74438971025,473226.37440080754,-219020.5156677995,-183687.5109077862,238402.7124027199,474816.2854809606,711588.1745981715,959808.284753553,0.3464003301969438,-17482.92488282799,596153.8643088513,959808.284753553,Moderate Structural Surplus
"El Paso, TX",,711014.5338693971,372744.8338471926,421135.1634987993,85127.33961983304,134581.31985108787,554337.9166447246,274397.46671813587,475927.7511129291,553575.8109636649,-152257.9474499668,-402411.17446836643,-74162.15119593497,-59943.81789154373,175739.12423205795,-47192.12322886102,1129412.0539796571,1099078.463598431,0.3179091198693439,222620.54193230404,589259.3796453213,1099078.463598431,Significant Structural Surplus
