MSA_Name,Year,Available_SF_Total,Counterfactual_Space_SF,Adv_Weight_LQ,Adv_Weighted_Available_SF_Total,Adv_Weighted_Counterfactual_SF
"San Francisco-Oakland-Fremont, CA",2019,5690476.0,5861618.451581932,0.6126760747944751,3486418.4993921653,3591273.3848580867
"San Francisco-Oakland-Fremont, CA",2020,7674139.0,7242229.751696601,0.6126760747944751,4701761.359947198,4437140.897029239
"San Francisco-Oakland-Fremont, CA",2021,7731684.0,6207498.217399817,0.6126760747944751,4737017.804671246,3803185.642130221
"San Francisco-Oakland-Fremont, CA",2022,8994318.0,8030354.190835448,0.6126760747944751,5510603.447693293,4920005.884850425
"San Francisco-Oakland-Fremont, CA",2023,12047300.0,8173654.965231269,0.6126760747944751,7381092.475871479,5007802.8408222655
"San Jose-Sunnyvale-Santa Clara, CA",2006,26334649.0,23968350.300661694,0.7452926099718026,19627019.28590132,17863434.35229859
"San Jose-Sunnyvale-Santa Clara, CA",2007,23946177.0,23217119.885077335,0.7452926099718026,17846908.75517675,17303547.875177525
"San Jose-Sunnyvale-Santa Clara, CA",2008,26898006.0,22998909.776797414,0.7452926099718026,20046885.094777204,17140917.494055353
"San Jose-Sunnyvale-Santa Clara, CA",2009,32263600.0,26089325.232120685,0.7452926099718026,24045822.65108625,19444181.294650428
"San Jose-Sunnyvale-Santa Clara, CA",2010,31993265.0,28699428.659251925,0.7452926099718026,23844343.973369524,21389472.09015342
"San Jose-Sunnyvale-Santa Clara, CA",2011,27810476.0,27998533.412246674,0.7452926099718026,20726942.242598176,20867100.042196043
"San Jose-Sunnyvale-Santa Clara, CA",2012,24675899.0,21968938.262414943,0.7452926099718026,18390765.169110592,16373287.33590463
"San Jose-Sunnyvale-Santa Clara, CA",2013,23253249.0,18158513.944456745,0.7452926099718026,17330474.63753421,13533406.25087354
"San Jose-Sunnyvale-Santa Clara, CA",2014,19547501.0,18351137.636082415,0.7452926099718026,14568608.03871642,13676967.264747638
"San Jose-Sunnyvale-Santa Clara, CA",2015,15864135.0,15567049.45886372,0.7452926099718026,11823422.579095023,11602006.920756679
"San Jose-Sunnyvale-Santa Clara, CA",2016,15935720.0,16127572.046825802,0.7452926099718026,11876774.350579854,12019760.263287088
"San Jose-Sunnyvale-Santa Clara, CA",2017,16279271.0,13736616.033071859,0.7452926099718026,12132820.372028276,10237798.415468635
"San Jose-Sunnyvale-Santa Clara, CA",2018,16056298.0,13362495.07073948,0.7452926099718026,11966640.242905034,9958968.827006774
"San Jose-Sunnyvale-Santa Clara, CA",2019,16107104.0,13765941.548023667,0.7452926099718026,12004505.57924726,10259654.505045835
"San Jose-Sunnyvale-Santa Clara, CA",2020,19434561.0,12997976.15917368,0.7452926099718026,14484434.691346206,9687295.576021818
"San Jose-Sunnyvale-Santa Clara, CA",2021,16918067.0,15036020.889714604,0.7452926099718026,12608910.310107823,11206235.252485942
"San Jose-Sunnyvale-Santa Clara, CA",2022,14369769.0,13927601.391699083,0.7452926099718026,10709682.6427019,10380138.391866319
"San Jose-Sunnyvale-Santa Clara, CA",2023,16273385.0,11269420.291674206,0.7452926099718026,12128433.579725983,8399015.662051061
"Scranton--Wilkes-Barre, PA",2006,8892779.0,7410353.127084692,0.39136672849149073,3480337.8244278305,2900165.660313824
"Scranton--Wilkes-Barre, PA",2007,10677366.0,10766692.296266831,0.39136672849149073,4178765.8003262742,4213725.140664486
"Scranton--Wilkes-Barre, PA",2008,8766101.0,9977717.585572053,0.39136672849149073,3430760.2699959856,3904946.68927735
"Scranton--Wilkes-Barre, PA",2009,11323003.0,12385456.729798853,0.39136672849149073,4431446.640809335,4847255.681214294
"Scranton--Wilkes-Barre, PA",2010,11640468.0,11721151.00666595,0.39136672849149073,4555691.879269886,4587268.5236335965
"Scranton--Wilkes-Barre, PA",2011,11504504.0,11350114.509994294,0.39136672849149073,4502480.093397269,4442057.183780267
